Accession,award.rfa,award.pi.title,,Target label,Target gene,Biosample summary,Biosample,Lab,Project,Species,Biosample type,Date released,Month released,Assay category,Assay Type,Assay name,Assay sub-class
ENCSR472ORV,ENCODE2,Richard Myers,,,,astrocyte,astrocyte,"Richard Myers, HAIB",ENCODE,Homo sapiens,primary cell,12/15/10,"December, 2010",DNA methylation,RRBS,RRBS,RRBS
ENCSR068XYW,ENCODE3,Bing Ren,,H3K9ac,,C57BL/6 midbrain embryo (16.5 days),midbrain,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,12/17/14,"December, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000AJF,ENCODE3,Richard Myers,,,,GM12878,GM12878,"Barbara Wold, Caltech",ENCODE,Homo sapiens,immortalized cell line,6/30/14,"June, 2014",Transcription,RNA-seq,single cell RNA-seq,single cell RNA-seq
ENCSR000AIY,ENCODE3,Richard Myers,,,,GM12878,GM12878,"Barbara Wold, Caltech",ENCODE,Homo sapiens,immortalized cell line,6/30/14,"June, 2014",Transcription,RNA-seq,single cell RNA-seq,single cell RNA-seq
ENCSR000AJB,ENCODE3,Richard Myers,,,,GM12878,GM12878,"Barbara Wold, Caltech",ENCODE,Homo sapiens,immortalized cell line,6/30/14,"June, 2014",Transcription,RNA-seq,single cell RNA-seq,single cell RNA-seq
ENCSR000ALU,ENCODE2,Bradley Bernstein,,H3K27me3,HIST2H3C,H1-hESC,H1-hESC,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,stem cell,2/10/11,"February, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR176BXC,ENCODE3,Bing Ren,,H3K4me3,Hist2h3c1,C57BL/6 limb embryo (14.5 days),limb,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR176EXN,ENCODE3,Michael Snyder,,JUN,JUN,MCF-7,MCF-7,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,7/7/14,"July, 2014",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR157EOE,ENCODE3,Bradley Bernstein,,KDM5B,KDM5B,H1-hESC,H1-hESC,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,stem cell,12/6/16,"December, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000ASY,ENCODE2,Bradley Bernstein,,EZH2,EZH2,H1-hESC,H1-hESC,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,stem cell,8/6/12,"August, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR408BER,ENCODE3,Richard Myers,,,,H1-hESC,H1-hESC,"Ali Mortazavi, UCI",ENCODE,Homo sapiens,stem cell,12/10/15,"December, 2015",Transcription,microRNA counts,microRNA counts,microRNA counts
ENCSR000ETW,ENCODE2-Mouse,Michael Snyder,,USF2,Usf2,DBA/2 MEL cell line,MEL cell line,"Michael Snyder, Stanford",ENCODE,Mus musculus,immortalized cell line,2/7/11,"February, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR699BEK,ENCODE3,Michael Snyder,,CTCF,CTCF,tibial artery male adult (37 years),tibial artery,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,2/8/17,"February, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR279IEM,ENCODE3,Michael Snyder,,SIX4,SIX4,MCF-7,MCF-7,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/11/16,"October, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR715EDZ,ENCODE3,Michael Snyder,,SP2,SP2,K562 genetically modified using CRISPR,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,11/20/17,"November, 2017",Transcription,Knockdown RNAseq,CRISPRi RNA-seq,transcription factor
ENCSR000DMA,ENCODE2,Gregory Crawford,,CTCF,CTCF,K562,K562,"Vishwanath Iyer, UTA",ENCODE,Homo sapiens,immortalized cell line,8/27/12,"August, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000DYD,ENCODE2,Michael Snyder,,CTCF,CTCF,A549,A549,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,8/20/12,"August, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000DQY,ENCODE2,John Stamatoyannopoulos,,CTCF,CTCF,GM12801,GM12801,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,3/17/11,"March, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR340VNK,ENCODE3,Bing Ren,,H3K4me2,Hist2h3c1,C57BL/6 lung postnatal (0 days),lung,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000BJL,ENCODE2,Richard Myers,,REST,REST,HepG2,HepG2,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,7/18/11,"July, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000EFF,ENCODE2,Michael Snyder,,MAZ,MAZ,IMR-90 female embryo (16 weeks),IMR-90,"Michael Snyder, Stanford",ENCODE,Homo sapiens,primary cell,8/20/12,"August, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR409HKJ,ENCODE3,Bing Ren,,,,C57BL/6 lung postnatal (0 days),lung,"Joe Ecker, Salk",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA methylation,whole-genome shotgun bisulfite sequencing,WGBS,WGBS
ENCSR344GSM,ENCODE3,Bing Ren,,,,C57BL/6 midbrain embryo (14.5 days),midbrain,"Joe Ecker, Salk",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA methylation,whole-genome shotgun bisulfite sequencing,WGBS,WGBS
ENCSR000EVE,ENCODE2,Michael Snyder,,TCF7L2,TCF7L2,HeLa-S3,HeLa-S3,"Peggy Farnham, USC",ENCODE,Homo sapiens,immortalized cell line,5/14/12,"May, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000DLF,ENCODE2,Gregory Crawford,,CTCF,CTCF,GM19240,GM19240,"Vishwanath Iyer, UTA",ENCODE,Homo sapiens,immortalized cell line,3/17/11,"March, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000EIC,ENCODE2,Michael Snyder,,CTCF,CTCF,SK-N-SH,SK-N-SH,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,8/20/12,"August, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR744WOO,ENCODE3,Michael Snyder,,TCF12,TCF12,K562,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/24/16,"October, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000EWE,ENCODE2,Michael Snyder,,ZNF274,ZNF274,K562,K562,"Peggy Farnham, USC",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000BRW,ENCODE2,Richard Myers,,TRIM28,TRIM28,K562,K562,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,9/10/12,"September, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000BNU,ENCODE2,Richard Myers,,ATF3,ATF3,K562,K562,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,7/18/11,"July, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR071YVR,ENCODE3,Richard Myers,,FLAG-KMT2B,KMT2B,HepG2 genetically modified using CRISPR,HepG2,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,11/8/16,"November, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000DZZ,ENCODE2,Michael Snyder,,TBP,TBP,GM12878,GM12878,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000DTA,ENCODE2,John Stamatoyannopoulos,,CTCF,CTCF,brain microvascular endothelial cell,brain microvascular endothelial cell,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,3/17/11,"March, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR613JNT,ENCODE3,Thomas Gingeras,,,,cardiac muscle cell,cardiac muscle cell,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,in vitro differentiated cells,5/9/16,"May, 2016",Transcription,RNA-seq,RAMPAGE,RAMPAGE
ENCSR769WKR,ENCODE3,Michael Snyder,,CTCF,CTCF,transverse colon female adult (53 years),transverse colon,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,7/8/16,"July, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR203QEB,ENCODE3,Michael Snyder,,CTCF,CTCF,Panc1,Panc1,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,7/21/17,"July, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000DYQ,ENCODE2,Michael Snyder,,ESRRA,ESRRA,GM12878,GM12878,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,8/20/12,"August, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000DDI,ENCODE2,Richard Myers,,,,A549 treated with dimethyl sulfoxide,A549,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,9/30/11,"September, 2011",DNA methylation,RRBS,RRBS,RRBS
ENCSR281KFH,ENCODE3,Richard Myers,,,,thyroid gland male adult (37 years),thyroid gland,"Ali Mortazavi, UCI",ENCODE,Homo sapiens,tissue,7/29/16,"July, 2016",Transcription,RNA-seq,microRNA-seq,microRNA-seq
ENCSR225VCV,ENCODE3,Bradley Bernstein,,H3K36me3,HIST2H3C,thyroid gland male adult (37 years),thyroid gland,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,tissue,5/23/16,"May, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR901BRV,ENCODE3,Bradley Bernstein,,H3K4me3,HIST2H3C,thyroid gland male adult (37 years),thyroid gland,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,tissue,5/23/16,"May, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR754SOI,ENCODE3,Michael Snyder,,eGFP-ZNF529,ZNF529,HEK293 genetically modified using site-specific recombination originated from HEK293,HEK293,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,11/28/17,"November, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR543KOA,ENCODE3,Michael Snyder,,eGFP-ZBTB12,ZBTB12,HEK293 genetically modified using site-specific recombination originated from HEK293,HEK293,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,11/28/17,"November, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR071XWO,ENCODE3,Michael Snyder,,CTCF,CTCF,gastrocnemius medialis female adult (51 year),gastrocnemius medialis,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,12/13/16,"December, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000BLK,ENCODE2,Richard Myers,,SRF,SRF,K562,K562,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,7/18/11,"July, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR251OVJ,ENCODE3,Richard Myers,,SMAD5,SMAD5,GM12878,GM12878,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,2/2/16,"February, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000BMZ,ENCODE2,Richard Myers,,ELF1,ELF1,HepG2,HepG2,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,7/18/11,"July, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000ANA,ENCODE2,Bradley Bernstein,,H3K4me1,HIST2H3C,H1-hESC,H1-hESC,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,stem cell,2/10/11,"February, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR430YFL,ENCODE3,Richard Myers,,,,H1-hESC,H1-hESC,"Ali Mortazavi, UCI",ENCODE,Homo sapiens,stem cell,2/2/16,"February, 2016",Transcription,RNA-seq,microRNA-seq,microRNA-seq
ENCSR000COU,ENCODE2,Thomas Gingeras,,,,H1-hESC,H1-hESC,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,stem cell,10/17/11,"October, 2011",Transcription,RNA-seq,polyA mRNA RNA-seq,polyA mRNA RNA-seq
ENCSR000ANB,ENCODE2,Bradley Bernstein,,H3K36me3,HIST2H3C,H1-hESC,H1-hESC,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,stem cell,2/10/11,"February, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000CEI,ENCODE2-Mouse,Bing Ren,,POLR2A,Polr2a,C57BL/6 brain embryo (14.5 days),brain,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,4/13/12,"April, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000COE,ENCODE2-Mouse,John Stamatoyannopoulos,,,,C57BL/6 brain male embryo (14.5 days),brain,"John Stamatoyannopoulos, UW",ENCODE,Mus musculus,tissue,7/1/11,"July, 2011",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR948VPV,ENCODE3,Bing Ren,,H3K9me3,Hist2h3c1,C57BL/6 midbrain embryo (14.5 days),midbrain,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,2/18/16,"February, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000ANJ,ENCODE2,Bradley Bernstein,,H3K4me2,HIST2H3C,skeletal muscle myoblast male adult (22 years),skeletal muscle myoblast,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,2/10/11,"February, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000EOO,ENCODE2,John Stamatoyannopoulos,,,,skeletal muscle myoblast,skeletal muscle myoblast,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,5/4/11,"May, 2011",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR000DFD,ENCODE2,Richard Myers,,,,skeletal muscle myoblast,skeletal muscle myoblast,"Richard Myers, HAIB",ENCODE,Homo sapiens,primary cell,12/15/10,"December, 2010",DNA methylation,RRBS,RRBS,RRBS
ENCSR619IUE,ENCODE3,Richard Myers,,CTCF,CTCF,bipolar neuron originated from GM23338 treated with doxycycline hyclate,bipolar neuron,"Richard Myers, HAIB",ENCODE,Homo sapiens,in vitro differentiated cells,10/27/16,"October, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR587FCM,ENCODE3,Bradley Bernstein,,H3K9me3,HIST2H3C,SU-DHL-6,SU-DHL-6,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,7/11/14,"July, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR011CSR,ENCODE3,Bradley Bernstein,,H3K4me1,HIST2H3C,NCI-H929,NCI-H929,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,12/6/16,"December, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000AJA,ENCODE3,Richard Myers,,,,GM12878,GM12878,"Barbara Wold, Caltech",ENCODE,Homo sapiens,immortalized cell line,6/30/14,"June, 2014",Transcription,RNA-seq,single cell RNA-seq,single cell RNA-seq
ENCSR625DPZ,ENCODE3,Richard Myers,,,,GM12878,GM12878,"Barbara Wold, Caltech",ENCODE,Homo sapiens,immortalized cell line,6/30/14,"June, 2014",Transcription,RNA-seq,single cell RNA-seq,single cell RNA-seq
ENCSR000AJE,ENCODE3,Richard Myers,,,,GM12878,GM12878,"Barbara Wold, Caltech",ENCODE,Homo sapiens,immortalized cell line,6/30/14,"June, 2014",Transcription,RNA-seq,single cell RNA-seq,single cell RNA-seq
ENCSR184CWK,ENCODE3,Richard Myers,,,,GM12878,GM12878,"Barbara Wold, Caltech",ENCODE,Homo sapiens,immortalized cell line,6/30/14,"June, 2014",Transcription,RNA-seq,single cell RNA-seq,single cell RNA-seq
ENCSR661MUS,ENCODE3,Bradley Bernstein,,H3K4me3,HIST2H3C,neural progenitor cell originated from H9,neural progenitor cell,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,in vitro differentiated cells,6/14/16,"June, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR449AXO,ENCODE3,Bradley Bernstein,,H3K27ac,HIST2H3C,neural progenitor cell originated from H9,neural progenitor cell,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,in vitro differentiated cells,6/14/16,"June, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR578CXC,ENCODE3,Richard Myers,,FLAG-ZNF644,ZNF644,HepG2 genetically modified using CRISPR,HepG2,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,11/8/16,"November, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR531VIJ,ENCODE3,Richard Myers,,FLAG-MIER3,MIER3,HepG2 genetically modified using CRISPR,HepG2,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,11/8/16,"November, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR331BDJ,ENCODE3,Michael Snyder,,NKRF,NKRF,K562,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,9/1/16,"September, 2016",DNA binding,ChIP-seq,ChIP-seq,RNA binding protein
ENCSR000EEW,ENCODE2,Michael Snyder,,ESRRA,ESRRA,HepG2 treated with forskolin and pyruvate,HepG2,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR638QHV,ENCODE3,Michael Snyder,,ELF4,ELF4,K562,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,1/31/17,"January, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR982MRY,ENCODE3,Richard Myers,,,,C57BL/6 lung postnatal (0 days),lung,"Barbara Wold, Caltech",ENCODE,Mus musculus,tissue,6/23/15,"June, 2015",Transcription,RNA-seq,total RNA-seq,total RNA-seq
ENCSR000BQA,ENCODE2,Richard Myers,,ZBTB7A,ZBTB7A,HepG2,HepG2,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,2/29/12,"February, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000EFA,ENCODE2,Michael Snyder,,JUN,JUN,endothelial cell of umbilical vein newborn,endothelial cell of umbilical vein,"Michael Snyder, Stanford",ENCODE,Homo sapiens,primary cell,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000BRZ,ENCODE2,Richard Myers,,EGR1,EGR1,HCT116,HCT116,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,9/10/12,"September, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR407BEZ,ENCODE3,Richard Myers,,ZHX2,ZHX2,HepG2,HepG2,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,7/7/14,"July, 2014",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR143WOK,ENCODE3,Richard Myers,,CTCF,Ctcf,C57BL/6 kidney postnatal (0 days),kidney,"Richard Myers, HAIB",ENCODE,Mus musculus,tissue,5/18/16,"May, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000AIN,ENCODE2-Mouse,Ross Hardison,,TCF12,Tcf12,C3H myocyte originated from C2C12,myocyte,"Barbara Wold, Caltech",ENCODE,Mus musculus,in vitro differentiated cells,11/23/11,"November, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR619EYC,ENCODE3,Michael Snyder,,RFX5,RFX5,K562 genetically modified using CRISPR,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,11/18/17,"November, 2017",Transcription,Knockdown RNAseq,CRISPRi RNA-seq,transcription factor
ENCSR559KAB,ENCODE3,Michael Snyder,,CTCF,CTCF,esophagus muscularis mucosa male adult (37 years),esophagus muscularis mucosa,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,12/19/16,"December, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR009KLQ,ENCODE3,Richard Myers,,FLAG-KLF16,KLF16,HepG2 genetically modified using CRISPR,HepG2,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,11/8/16,"November, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000ESJ,ENCODE2-Mouse,Michael Snyder,,UBTF,Ubtf,DBA/2 MEL cell line,MEL cell line,"Michael Snyder, Stanford",ENCODE,Mus musculus,immortalized cell line,8/16/12,"August, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR588AKU,ENCODE3,Richard Myers,,RUNX1,RUNX1,K562,K562,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,3/31/16,"March, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000ANQ,ENCODE2,Bradley Bernstein,,H3K79me2,HIST2H3C,skeletal muscle myoblast male adult (22 years),skeletal muscle myoblast,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,2/10/11,"February, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000COY,ENCODE2,Thomas Gingeras,,,,skeletal muscle myoblast,skeletal muscle myoblast,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,primary cell,10/17/11,"October, 2011",Transcription,RNA-seq,polyA mRNA RNA-seq,polyA mRNA RNA-seq
ENCSR000ANR,ENCODE2,Bradley Bernstein,,H3K9me3,HIST2H3C,skeletal muscle myoblast male adult (22 years),skeletal muscle myoblast,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,2/10/11,"February, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000ANG,ENCODE2,Bradley Bernstein,,H3K27me3,HIST2H3C,skeletal muscle myoblast male adult (22 years),skeletal muscle myoblast,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,2/10/11,"February, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000ESL,ENCODE2-Mouse,Michael Snyder,,MAZ,Maz,DBA/2 MEL cell line,MEL cell line,"Michael Snyder, Stanford",ENCODE,Mus musculus,immortalized cell line,8/16/12,"August, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR810WXH,ENCODE3,Michael Snyder,,TOE1,TOE1,MCF-7,MCF-7,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,6/26/17,"June, 2017",DNA binding,ChIP-seq,ChIP-seq,RNA binding protein
ENCSR000BNA,ENCODE2,Richard Myers,,ZBTB33,ZBTB33,HepG2,HepG2,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,7/18/11,"July, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000DNQ,ENCODE2,Michael Snyder,,ZZZ3,ZZZ3,GM12878,GM12878,"Kevin Struhl, HMS",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR136ZPD,ENCODE3,Michael Snyder,,MAFG,MAFG,K562 genetically modified using RNAi,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/9/16,"October, 2016",Transcription,Knockdown RNAseq,siRNA RNA-seq,transcription factor
ENCSR000BLV,ENCODE2,Richard Myers,,SRF,SRF,HepG2,HepG2,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,7/18/11,"July, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000EUY,ENCODE2,Michael Snyder,,TCF7L2,TCF7L2,HEK293,HEK293,"Peggy Farnham, USC",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000BRU,ENCODE2,Richard Myers,,FOXM1,FOXM1,GM12878,GM12878,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,2/29/12,"February, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000BMU,ENCODE2,Richard Myers,,POU5F1,POU5F1,H1-hESC,H1-hESC,"Richard Myers, HAIB",ENCODE,Homo sapiens,stem cell,7/18/11,"July, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR909GJR,ENCODE3,Richard Myers,,FLAG-MXD3,MXD3,HepG2 genetically modified using CRISPR,HepG2,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,11/8/16,"November, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR673WZL,ENCODE3,Michael Snyder,,CTCF,CTCF,LNCAP treated with 17β-hydroxy-5α-androstan-3-one,LNCAP,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,6/29/17,"June, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR186NVR,ENCODE3,Michael Snyder,,CTCF,CTCF,gastroesophageal sphincter male adult (37 years),gastroesophageal sphincter,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,6/23/17,"June, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR030CKH,ENCODE3,Thomas Gingeras,,,,lower leg skin female adult (51 year),lower leg skin,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,tissue,8/5/16,"August, 2016",Transcription,RNA-seq,RAMPAGE,RAMPAGE
ENCSR882QTS,ENCODE3,Richard Myers,,,,testis male adult (37 years),testis,"Ali Mortazavi, UCI",ENCODE,Homo sapiens,tissue,7/29/16,"July, 2016",Transcription,microRNA counts,microRNA counts,microRNA counts
ENCSR332RHR,ENCODE3,Thomas Gingeras,,,,prostate gland male adult (54 years),prostate gland,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,tissue,5/23/16,"May, 2016",Transcription,RNA-seq,small RNA-seq,small RNA-seq
ENCSR935XOT,ENCODE3,Michael Snyder,,POLR2A,POLR2A,tibial nerve female adult (53 years),tibial nerve,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,4/4/17,"April, 2017",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR038YKU,ENCODE3,Michael Snyder,,POLR2A,POLR2A,stomach female adult (51 year),stomach,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,7/6/16,"July, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
